"model_id","location","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing","CN",1,0.51125,1,0.443036413043478,1,26
"GZNL-SeasonalDecomposition","CN",0.948655256723716,0.485,0.68811082610493,0.304858152173913,0.875,26
"GZNL-SimpleTrend","CN",1.00488997555012,0.51375,0.743401207330342,0.329353804347826,0.625,26
"XMU_CTModelling-FNN","CN",1.4718826405868,0.7525,1.24393298715509,0.551107608695652,0.375,15
"XMU_CTModelling-GRU","CN",1.23471882640587,0.63125,0.995966569633716,0.441249456521739,0.625,15
"XMU_CTModelling-LSTM","CN",1.66748166259169,0.8525,1.43848098657118,0.637299456521739,0.625,15
"XMU_CTModelling-TCN","CN",1.59168704156479,0.81375,1.39960033710057,0.620073913043478,0.375,15
"XMU_CTModelling-XGBoost","CN",1.18826405867971,0.6075,1.0088580902296,0.446960869565217,0.625,15
