"model_id","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",1,1.80333333333333,1,1.07990942028985,0.833333333333333,20
"GZNL-SeasonalDecomposition",0.190388170055453,0.343333333333333,0.173728562401794,0.187611111111111,NA,6
"GZNL-SimpleTrend",0.914048059149723,1.64833333333333,1.23609736458036,1.3348731884058,0.333333333333333,20
