"model_id","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",1,0.00106666666666667,1,0.0213412608695652,1,60
"GZNL-SeasonalDecomposition",0.74315352773972,0.000949999999999997,0.999977395038187,0.0213017536231884,1,60
"GZNL-SimpleTrend",0.685740278890859,0.000766666666666658,1.00314737245151,0.0213538623188406,1,60
"XMU_CTModelling-FNN",207.610738944002,0.223149248950824,7.84675142179215,0.167372850039791,1,8
"XMU_CTModelling-GRU",286.250407812511,0.307674659991736,10.174402269088,0.217022129756678,0.5,8
"XMU_CTModelling-LSTM",360.624576607532,0.387615321984308,11.3135555317403,0.241320507257554,0.75,8
"XMU_CTModelling-TCN",265.385220929655,0.285247829829623,8.37538322312818,0.178648676997372,1,8
"XMU_CTModelling-XGBoost",256.55227585649,0.275753787907098,10.5871196744435,0.225825478388767,0.75,8
