"model_id","ae_median","wis","interval_coverage_95","n"
"XMU_CTModelling-FNN",0.7525,0.551107608695652,0.375,15
"XMU_CTModelling-GRU",0.63125,0.441249456521739,0.625,15
"XMU_CTModelling-LSTM",0.8525,0.637299456521739,0.625,15
"XMU_CTModelling-TCN",0.81375,0.620073913043478,0.375,15
"XMU_CTModelling-XGBoost",0.6075,0.446960869565217,0.625,15
