"model_id","horizon","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",0,1,0.09975,1,0.063995,0.75,4
"GZNL-SeasonalDecomposition",0,0.99749373433584,0.0995,0.998943531593841,0.0639273913043478,0.75,4
"GZNL-SimpleTrend",0,0.99749373433584,0.0995,0.999925265900529,0.0639902173913043,1,4
"XMU_CTModelling-FNN",0,2.23057644110276,0.2225,2.52134168090578,0.161353260869565,1,4
"XMU_CTModelling-GRU",0,3.1077694235589,0.31,3.80539240497729,0.243526086956522,0.5,4
"XMU_CTModelling-LSTM",0,2.78195488721804,0.2775,3.17343066883622,0.203083695652174,0.75,4
"XMU_CTModelling-TCN",0,2.38095238095238,0.2375,2.44873070926057,0.15670652173913,1,4
"XMU_CTModelling-XGBoost",0,2.25563909774436,0.225,2.94798846377265,0.18865652173913,0.75,4
