"model_id","horizon","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",0,1,0.099,1,0.0533408695652174,1,1
"GZNL-SeasonalDecomposition",0,1.04040404040404,0.103,1.006960972906,0.0537121739130435,1,1
"GZNL-SimpleTrend",0,1.02020202020202,0.101,0.99897297121059,0.0532860869565217,1,1
"MUST-SEIRS",0,7.57734919191919,0.75015757,12.8484970797496,0.68535000684,0,1
"XMU_CTModelling-FNN",0,14.7474747474748,1.46,14.3200417332334,0.76384347826087,1,1
"XMU_CTModelling-GRU",0,7.47474747474748,0.74,8.51243845978286,0.454060869565217,0,1
"XMU_CTModelling-LSTM",0,18.6868686868687,1.85,25.8474617717062,1.37872608695652,0,1
"XMU_CTModelling-TCN",0,23.2323232323232,2.3,23.6253301163966,1.26019565217391,1,1
"XMU_CTModelling-XGBoost",0,4.74747474747475,0.47,4.4972449545173,0.239886956521739,1,1
