"model_id","horizon","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",0,1,0.51125,1,0.443036413043478,1,8
"GZNL-SeasonalDecomposition",0,0.948655256723716,0.485,0.68811082610493,0.304858152173913,0.875,8
"GZNL-SimpleTrend",0,1.00488997555012,0.51375,0.743401207330342,0.329353804347826,0.625,8
"XMU_CTModelling-FNN",0,1.4718826405868,0.7525,1.24393298715509,0.551107608695652,0.375,8
"XMU_CTModelling-GRU",0,1.23471882640587,0.63125,0.995966569633716,0.441249456521739,0.625,8
"XMU_CTModelling-LSTM",0,1.66748166259169,0.8525,1.43848098657118,0.637299456521739,0.625,8
"XMU_CTModelling-TCN",0,1.59168704156479,0.81375,1.39960033710057,0.620073913043478,0.375,8
"XMU_CTModelling-XGBoost",0,1.18826405867971,0.6075,1.0088580902296,0.446960869565217,0.625,8
