"model_id","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing",1,0.0831666666666667,1,0.0551176086956522,0.833333333333333,18
"GZNL-SeasonalDecomposition",1.0079883133067,0.0835,1.00044007412691,0.0550971014492754,0.833333333333333,18
"GZNL-SimpleTrend",1.00400987234107,0.0833333333333333,1.00011719307462,0.0551319565217391,1,18
"MUST-SEIRS",4.92758812638235,0.75015757,9.16362630850763,0.68535000684,0,1
"XMU_CTModelling-FNN",6.34627855758425,0.475,7.03433545305086,0.354750724637681,1,11
"XMU_CTModelling-GRU",5.1445425010954,0.408333333333333,6.86246146197887,0.368191304347826,0.5,11
"XMU_CTModelling-LSTM",7.52217447903025,0.558333333333333,9.74948298131116,0.475710144927536,0.666666666666667,11
"XMU_CTModelling-TCN",8.59981495010262,0.631666666666667,9.21758575006175,0.451660869565217,1,11
"XMU_CTModelling-XGBoost",3.60860330660075,0.29,5.19378011655302,0.291468115942029,0.833333333333333,11
