"model_id","target_end_date","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"XMU_CTModelling-GRU",2025-12-01,208.646467275147,0.320815157159296,11.0932337365782,0.237007100001089,0.5,2
"XMU_CTModelling-GRU",2025-12-08,116.339394755635,0.162719013660995,3.99012025749319,0.0848653292295353,0.5,2
"XMU_CTModelling-GRU",2025-12-15,322.206212572575,0.339832313954439,10.4705129350294,0.222693663864786,0.5,2
"XMU_CTModelling-GRU",2025-12-22,Inf,0.418577652345507,19.2555098870424,0.412161914561613,0,1
"XMU_CTModelling-LSTM",2025-11-24,Inf,0.39423557770925,10.6942366868509,0.229349986953553,1,1
"XMU_CTModelling-LSTM",2025-12-01,209.14190653105,0.32157694538807,8.20192108672746,0.175234163217287,1,2
"XMU_CTModelling-LSTM",2025-12-08,348.112068211582,0.486889694603077,12.0376701170271,0.256027581053372,1,2
"XMU_CTModelling-LSTM",2025-12-15,324.834384512181,0.342604258494476,10.364462410267,0.220438112483428,0.5,2
"XMU_CTModelling-LSTM",2025-12-22,Inf,0.404545201193973,18.5852162107137,0.397814357598704,0,1
"XMU_CTModelling-TCN",2025-11-24,Inf,0.0104990885640686,5.14226400379734,0.110281660740944,1,1
"XMU_CTModelling-TCN",2025-12-01,133.120345247301,0.204686065569919,7.90947335114928,0.168986013096486,1,2
"XMU_CTModelling-TCN",2025-12-08,308.066642667446,0.430879843770832,12.8850597425843,0.2740505966313,1,2
"XMU_CTModelling-TCN",2025-12-15,436.476454897748,0.460353642688133,9.05011781865153,0.192483778774667,1,2
"XMU_CTModelling-TCN",2025-12-22,Inf,0.0796444460151446,2.23626453601644,0.0478669782331245,1,1
"XMU_CTModelling-XGBoost",2025-11-24,Inf,0.399891141990479,17.1570513878976,0.367952349213852,0,1
"XMU_CTModelling-XGBoost",2025-12-01,258.032792827174,0.396751653954135,14.0275980247483,0.299699835663259,0.5,2
"XMU_CTModelling-XGBoost",2025-12-08,285.477457390014,0.399285301307639,11.0868762673048,0.235805274987642,1,2
"XMU_CTModelling-XGBoost",2025-12-15,26.2644049843769,0.027701183813974,5.35153090867818,0.113819832202503,1,2
"XMU_CTModelling-XGBoost",2025-12-22,Inf,0.158662883114812,6.54063839322324,0.140001592189473,1,1
