"model_id","location","ae_median","wis","interval_coverage_95","n"
"MUST-SEIRS","CN",0.75015757,0.68535000684,0,1
"XMU_CTModelling-FNN","CN",1.46,0.76384347826087,1,2
"XMU_CTModelling-GRU","CN",0.74,0.454060869565217,0,2
"XMU_CTModelling-LSTM","CN",1.85,1.37872608695652,0,2
"XMU_CTModelling-TCN","CN",2.3,1.26019565217391,1,2
"XMU_CTModelling-XGBoost","CN",0.47,0.239886956521739,1,2
