"model_id","ae_median","wis","interval_coverage_95","n"
"MUST-SEIRS",0.75015757,0.68535000684,0,1
"XMU_CTModelling-FNN",1.46,0.76384347826087,1,2
"XMU_CTModelling-GRU",0.74,0.454060869565217,0,2
"XMU_CTModelling-LSTM",1.85,1.37872608695652,0,2
"XMU_CTModelling-TCN",2.3,1.26019565217391,1,2
"XMU_CTModelling-XGBoost",0.47,0.239886956521739,1,2
